type,coords
hotel,"[(127.0639048, 37.5083561), (127.0640831, 37.508704), (127.0642246, 37.5087498), (127.0641978, 37.5089062), (127.0642897, 37.508937), (127.0644304, 37.5086398), (127.064205, 37.50856), (127.0641954, 37.5085657), (127.0641375, 37.5084567), (127.0641723, 37.5084466), (127.0641308, 37.5083679), (127.0640476, 37.5083872), (127.0640141, 37.5083226), (127.0639048, 37.5083561)]"
university,"[(126.9500488, 37.4550713), (126.9505411, 37.4551223), (126.9507903, 37.4551481), (126.9509492, 37.4551645), (126.951029, 37.4546565), (126.9501307, 37.4545676), (126.9500488, 37.4550713)]"
train_station,"[(127.0083396, 37.5291913), (127.0099861, 37.5298157), (127.0100751, 37.5296682), (127.0084285, 37.5290438), (127.0083396, 37.5291913)]"
hotel,"[(127.0040543, 37.5045421), (127.0047597, 37.5047559), (127.0052535, 37.5037303), (127.0045481, 37.5035166), (127.0040543, 37.5045421)]"
hospital,"[(126.9080443, 37.4940014), (126.9082408, 37.4942415), (126.9084663, 37.4941253), (126.9082698, 37.4938852), (126.9080443, 37.4940014)]"
hospital,"[(126.9085717, 37.4926621), (126.9086895, 37.4933493), (126.9089501, 37.4933212), (126.9089231, 37.4931632), (126.9089895, 37.4931561), (126.9088989, 37.4926268), (126.9085717, 37.4926621)]"
hospital,"[(126.9083503, 37.4934532), (126.9084479, 37.4939152), (126.9086604, 37.4938869), (126.9086123, 37.4936595), (126.9088351, 37.4936299), (126.9087855, 37.4933953), (126.9083503, 37.4934532)]"
church,"[(126.9075913, 37.4934848), (126.9077699, 37.4937811), (126.9079956, 37.4936954), (126.9078171, 37.4933992), (126.9075913, 37.4934848)]"
school,"[(127.0333017, 37.5499947), (127.0334375, 37.550224), (127.0336015, 37.5501629), (127.0334656, 37.5499337), (127.0333017, 37.5499947)]"
school,"[(127.0335956, 37.5499569), (127.0338062, 37.5503122), (127.0338465, 37.5502972), (127.0338767, 37.5503481), (127.0341613, 37.550242), (127.034149, 37.5502213), (127.0342281, 37.5501918), (127.0341951, 37.5501362), (127.0341481, 37.5501537), (127.0341044, 37.5500799), (127.033866, 37.5501687), (127.0338016, 37.5500599), (127.0338337, 37.550048), (127.0338024, 37.5499951), (127.0339461, 37.5499415), (127.0339355, 37.5499238), (127.0340113, 37.5498955), (127.0339873, 37.5498551), (127.0339505, 37.5498688), (127.0339107, 37.5498016), (127.0336868, 37.549885), (127.0336938, 37.5498969), (127.0336609, 37.5499091), (127.0336723, 37.5499283), (127.0335956, 37.5499569)]"
school,"[(127.0334803, 37.5505965), (127.0335174, 37.5506543), (127.0334847, 37.5506675), (127.033511, 37.5507085), (127.0335548, 37.5506909), (127.0338365, 37.5505789), (127.0339034, 37.5505519), (127.0338857, 37.5505243), (127.0340608, 37.5504537), (127.0340227, 37.5503941), (127.0339916, 37.5504067), (127.033956, 37.5503512), (127.0337302, 37.5504422), (127.0337574, 37.5504848), (127.0334803, 37.5505965)]"
school,"[(127.0333992, 37.5509741), (127.0334851, 37.5509869), (127.0334529, 37.5510294), (127.0337372, 37.5511527), (127.0337855, 37.5512676), (127.0337855, 37.5515525), (127.0338552, 37.5515525), (127.0338498, 37.5516291), (127.0339142, 37.5516363), (127.0339142, 37.5515823), (127.033984, 37.5515853), (127.0339947, 37.5511697), (127.0343487, 37.5510124), (127.0343541, 37.5509486), (127.034279, 37.5508495), (127.0338767, 37.5510196), (127.0335441, 37.5508805), (127.0334904, 37.5509345), (127.0334314, 37.5509103), (127.0333992, 37.5509741)]"
train_station,"[(127.0376801, 37.5623965), (127.0377874, 37.562405), (127.0377599, 37.5625181), (127.0377421, 37.562591), (127.0377284, 37.5626474), (127.0386511, 37.5627707), (127.0386616, 37.5627185), (127.0386752, 37.5626509), (127.0391644, 37.5602191), (127.0385566, 37.5601521), (127.0384574, 37.5601412), (127.038356, 37.56013), (127.0383482, 37.5601709), (127.0381897, 37.5609975), (127.0377659, 37.5609549), (127.0377498, 37.5610357), (127.0379376, 37.561057), (127.0376801, 37.5623965)]"
university,"[(126.9497268, 37.4577483), (126.9500582, 37.4583749), (126.9500916, 37.4584381), (126.9503008, 37.4583657), (126.9502112, 37.4581823), (126.9499574, 37.4576631), (126.9497268, 37.4577483)]"
university,"[(126.9507298, 37.4585884), (126.9508318, 37.4587659), (126.9513773, 37.4585685), (126.9512753, 37.4583909), (126.9507298, 37.4585884)]"
university,"[(126.9496624, 37.4584041), (126.9500326, 37.459128), (126.9501377, 37.4590975), (126.9502525, 37.4590641), (126.9501424, 37.4588444), (126.9499226, 37.4584056), (126.9498877, 37.4583359), (126.9496624, 37.4584041)]"
university,"[(126.9512208, 37.4568554), (126.951387, 37.4568852), (126.951548, 37.4566638), (126.9515694, 37.4564381), (126.9512851, 37.456421), (126.9512208, 37.4568554)]"
university,"[(126.9365528, 37.5634453), (126.9367428, 37.5640928), (126.9372205, 37.5640047), (126.9370304, 37.5633572), (126.9365528, 37.5634453)]"
school,"[(127.0073869, 37.4849328), (127.0074339, 37.4850428), (127.0077596, 37.4849553), (127.0077126, 37.4848453), (127.0073869, 37.4849328)]"
hospital,"[(126.9235603, 37.4935513), (126.9238014, 37.4945448), (126.9245482, 37.4944307), (126.9243962, 37.4938043), (126.9246017, 37.4937729), (126.9245188, 37.4934311), (126.9249035, 37.4933723), (126.9248737, 37.4932496), (126.9253788, 37.4931683), (126.9253406, 37.4929751), (126.9248263, 37.4930542), (126.9248435, 37.4931255), (126.9238499, 37.4932773), (126.9238775, 37.4933912), (126.9236632, 37.4934239), (126.9236894, 37.4935315), (126.9235603, 37.4935513)]"
university,"[(126.9511568, 37.4574338), (126.9512131, 37.4575531), (126.9511836, 37.4575637), (126.9512887, 37.4577759), (126.9513713, 37.4579427), (126.9514035, 37.4579342), (126.9514599, 37.4580449), (126.9516154, 37.4579874), (126.9515618, 37.4578746), (126.9515886, 37.4578618), (126.9514116, 37.4574871), (126.9513687, 37.4574934), (126.9513177, 37.457387), (126.9511568, 37.4574338)]"
university,"[(126.9519159, 37.45747), (126.9523072, 37.4582304), (126.9523609, 37.458213), (126.9524698, 37.4581777), (126.9525281, 37.4581588), (126.952137, 37.4573984), (126.9520119, 37.4574389), (126.9519159, 37.45747)]"
university,"[(126.9523769, 37.4584207), (126.9531653, 37.4590029), (126.9532352, 37.4589433), (126.9533254, 37.4588664), (126.9525778, 37.4583142), (126.952537, 37.4582841), (126.9525246, 37.4582946), (126.9524415, 37.4583656), (126.9523769, 37.4584207)]"
university,"[(126.9506476, 37.4575631), (126.9510411, 37.4583087), (126.9512503, 37.458215), (126.9510556, 37.45786), (126.9508533, 37.4574911), (126.9506476, 37.4575631)]"
university,"[(126.9493508, 37.4578978), (126.9493561, 37.4579702), (126.9494473, 37.4579702), (126.9495385, 37.4579787), (126.9495868, 37.4577274), (126.9495385, 37.4577061), (126.9495814, 37.4576593), (126.9496351, 37.4576891), (126.949737, 37.4576423), (126.9497316, 37.457523), (126.9496619, 37.4575315), (126.9495975, 37.4575528), (126.9495331, 37.4575869), (126.9494741, 37.4575869), (126.9494366, 37.457621), (126.9494312, 37.4576763), (126.9493829, 37.4576806), (126.9493508, 37.4578978)]"
university,"[(126.9500993, 37.459356), (126.9502466, 37.4596415), (126.9503324, 37.4596798), (126.950556, 37.4595999), (126.9508256, 37.4595059), (126.9506725, 37.459229), (126.9510627, 37.459093), (126.9509973, 37.4589748), (126.9509456, 37.4588747), (126.9506384, 37.4589747), (126.9503245, 37.4590768), (126.9504156, 37.4592531), (126.9500993, 37.459356)]"
university,"[(126.9499998, 37.4575464), (126.9500642, 37.4576699), (126.9501554, 37.457704), (126.9501983, 37.4577764), (126.9502841, 37.4577934), (126.9503199, 37.4577809), (126.9505041, 37.4577168), (126.9505363, 37.4576742), (126.9505094, 37.457589), (126.9501447, 37.4574911), (126.950115, 37.4575024), (126.9499998, 37.4575464)]"
university,"[(126.9508366, 37.4597947), (126.9515391, 37.4603321), (126.9517108, 37.4601907), (126.9510082, 37.4596534), (126.9508366, 37.4597947)]"
university,"[(126.9490011, 37.4589681), (126.9490942, 37.4591352), (126.9498216, 37.4589084), (126.9497272, 37.4587179), (126.9496789, 37.4587307), (126.9496127, 37.4586529), (126.9495376, 37.4586402), (126.9494536, 37.4586838), (126.9494196, 37.4587381), (126.9494429, 37.4588201), (126.9490011, 37.4589681)]"
school,"[(126.9534957, 37.4579663), (126.9535199, 37.4580344), (126.9535762, 37.4580749), (126.9536727, 37.4580749), (126.9537371, 37.4580238), (126.9537264, 37.4579769), (126.9537666, 37.4579535), (126.9538444, 37.4580046), (126.9542655, 37.4576299), (126.9539866, 37.4574404), (126.9535976, 37.4577768), (126.9536701, 37.4578407), (126.9536218, 37.4578875), (126.9535628, 37.4578684), (126.9535172, 37.4579088), (126.9534957, 37.4579663)]"
school,"[(126.951318, 37.4632326), (126.9515166, 37.4638413), (126.9516982, 37.463804), (126.9516101, 37.4635338), (126.9518499, 37.4635932), (126.9518649, 37.4635551), (126.9518703, 37.4634508), (126.9518301, 37.4633507), (126.9517442, 37.4632677), (126.9516506, 37.4632216), (126.9515431, 37.4633592), (126.9514903, 37.4631972), (126.951318, 37.4632326)]"
university,"[(126.9514653, 37.4649346), (126.9514888, 37.4651642), (126.9515753, 37.4651667), (126.9517737, 37.4650858), (126.9517737, 37.4650155), (126.9520312, 37.4649857), (126.9520125, 37.4648899), (126.9514653, 37.4649346)]"
university,"[(126.9536097, 37.4603613), (126.9537211, 37.4605088), (126.9540711, 37.4609723), (126.9542696, 37.4608765), (126.9538029, 37.4602655), (126.9536097, 37.4603613)]"
retail,"[(127.0622894, 37.6168639), (127.06274, 37.6171741), (127.0627829, 37.6171316), (127.0630082, 37.6173122), (127.0629921, 37.6174014), (127.0631147, 37.6174153), (127.0631228, 37.6173027), (127.0624101, 37.616747), (127.0622894, 37.6168639)]"
university,"[(126.9259, 37.550396), (126.9259297, 37.5510083), (126.9261083, 37.5510029), (126.9260786, 37.5503906), (126.9259, 37.550396)]"
university,"[(126.9241503, 37.5518124), (126.9243317, 37.5522003), (126.924713, 37.5520881), (126.9245316, 37.5517003), (126.9241503, 37.5518124)]"
university,"[(127.0594916, 37.6196238), (127.0602644, 37.6198874), (127.0604948, 37.6194198), (127.0597601, 37.6191693), (127.0594916, 37.6196238)]"
school,"[(127.0580277, 37.619006), (127.0581454, 37.6190844), (127.0587406, 37.6183278), (127.0583061, 37.6178434), (127.058172, 37.6179496), (127.0585263, 37.6183408), (127.0581332, 37.6188652), (127.0580277, 37.619006)]"
retail,"[(127.0616266, 37.6164454), (127.0618359, 37.6166196), (127.0620236, 37.6164752), (127.0617929, 37.6162754), (127.0616266, 37.6164454)]"
university,"[(127.0607573, 37.6196886), (127.060833, 37.619935), (127.061148, 37.6198743), (127.0610723, 37.6196279), (127.0607573, 37.6196886)]"
university,"[(127.0589769, 37.6205694), (127.0591001, 37.6207327), (127.0599344, 37.6203463), (127.059803, 37.6201679), (127.0589769, 37.6205694)]"
museum,"[(126.9779727, 37.5238563), (126.9780114, 37.5243458), (126.9783985, 37.5243266), (126.9792092, 37.5243536), (126.9792168, 37.5242102), (126.9794079, 37.5242007), (126.9800399, 37.5241694), (126.9804893, 37.5241471), (126.9822285, 37.5240608), (126.9822228, 37.5239885), (126.9825095, 37.5239743), (126.9825014, 37.5238712), (126.9822147, 37.5238854), (126.9821831, 37.5234851), (126.9799945, 37.5235937), (126.9796239, 37.5236121), (126.9793624, 37.5236251), (126.9793288, 37.5236267), (126.9793057, 37.523333), (126.9781874, 37.5233885), (126.9782234, 37.5238439), (126.9779727, 37.5238563)]"
university,"[(126.9243501, 37.5522153), (126.9244818, 37.5523567), (126.9246492, 37.5525127), (126.9248732, 37.5527021), (126.9249855, 37.5527768), (126.9250649, 37.552825), (126.9255027, 37.552488), (126.9252516, 37.5522226), (126.924912, 37.5524443), (126.9248363, 37.5523735), (126.9245855, 37.5521391), (126.9243501, 37.5522153)]"
university,"[(126.924335, 37.5503495), (126.9243958, 37.5509036), (126.9251206, 37.5508535), (126.9251075, 37.5507343), (126.9245268, 37.5507743), (126.9244791, 37.5503395), (126.924335, 37.5503495)]"
university,"[(126.9242894, 37.5501403), (126.9249183, 37.5502328), (126.9249519, 37.5500894), (126.924323, 37.5499969), (126.9242894, 37.5501403)]"
hospital,"[(127.0660793, 37.5123663), (127.0662912, 37.5123854), (127.0661785, 37.513113), (127.0663555, 37.5131301), (127.0664092, 37.5128024), (127.0663341, 37.512796), (127.0663529, 37.5126833), (127.0664333, 37.5126918), (127.0664762, 37.5124046), (127.0667482, 37.5124321), (127.0667793, 37.5122535), (127.0665057, 37.5122258), (127.0665648, 37.5118578), (127.0663743, 37.5118386), (127.066318, 37.5122088), (127.0661018, 37.5121896), (127.0660793, 37.5123663)]"
hospital,"[(127.0665272, 37.5132705), (127.0667364, 37.5132854), (127.0668115, 37.5127833), (127.0665996, 37.5127662), (127.0665272, 37.5132705)]"
hospital,"[(127.0664408, 37.5117881), (127.0666989, 37.5118088), (127.0667023, 37.5118471), (127.0667337, 37.5118769), (127.066782, 37.5118918), (127.0667793, 37.5119769), (127.0669342, 37.5119879), (127.0669671, 37.511728), (127.0664532, 37.5116853), (127.0664408, 37.5117881)]"
hospital,"[(127.0663462, 37.5143941), (127.0665709, 37.5144158), (127.066683, 37.5138244), (127.0664422, 37.5138025), (127.0663462, 37.5143941)]"
school,"[(126.9436352, 37.5005255), (126.9437302, 37.5006301), (126.9445388, 37.5001682), (126.9444438, 37.5000636), (126.9436352, 37.5005255)]"
school,"[(126.9438444, 37.5007337), (126.9439421, 37.5008387), (126.9446323, 37.5004345), (126.9445346, 37.5003295), (126.9438444, 37.5007337)]"
school,"[(126.9401391, 37.5035895), (126.9410123, 37.5040155), (126.9411637, 37.5038108), (126.9411154, 37.5037853), (126.9411849, 37.5036934), (126.9410564, 37.5036363), (126.9408955, 37.5038236), (126.9402944, 37.5035529), (126.9403148, 37.5034646), (126.9403848, 37.5034729), (126.9404474, 37.5032305), (126.9402249, 37.5031937), (126.9401605, 37.5034363), (126.9402478, 37.5034498), (126.9402283, 37.5035319), (126.9401894, 37.5035097), (126.9401391, 37.5035895)]"
university,"[(126.9982843, 37.6110455), (126.9985256, 37.6112974), (126.9985809, 37.6112606), (126.9987041, 37.6112815), (126.9988864, 37.611168), (126.9989166, 37.6109827), (126.9987796, 37.6108314), (126.998547, 37.6108035), (126.9983497, 37.61092), (126.9983434, 37.6110086), (126.9982843, 37.6110455)]"
university,"[(126.9965074, 37.6123368), (126.9966674, 37.6125044), (126.9967225, 37.6124664), (126.9967385, 37.6124804), (126.9971989, 37.612196), (126.9971953, 37.6121819), (126.9972344, 37.612158), (126.9970798, 37.6119932), (126.9970424, 37.6120214), (126.9970211, 37.6120115), (126.9969805, 37.6120368), (126.996586, 37.6122829), (126.9965696, 37.6122931), (126.9965643, 37.6123072), (126.9965074, 37.6123368)]"
university,"[(126.9978395, 37.611103), (126.9979093, 37.6111786), (126.9979728, 37.6112509), (126.9981865, 37.6114589), (126.9983141, 37.6115832), (126.9983604, 37.6115536), (126.9983746, 37.6115762), (126.9984492, 37.6115297), (126.9985079, 37.6115902), (126.9986519, 37.6114987), (126.9986306, 37.6114846), (126.9986661, 37.6114818), (126.9987052, 37.6114635), (126.9987035, 37.611441), (126.9986021, 37.6113213), (126.9985061, 37.6113734), (126.9985683, 37.6114213), (126.9985435, 37.6114367), (126.9981204, 37.6109734), (126.9979959, 37.6110481), (126.9980084, 37.6110692), (126.9979782, 37.6110762), (126.9979551, 37.6110579), (126.9979284, 37.6110706), (126.9979159, 37.6110579), (126.9978395, 37.611103)]"
university,"[(126.9932039, 37.6129139), (126.9933345, 37.6129257), (126.9934691, 37.6129378), (126.9934691, 37.6129039), (126.9935055, 37.6129049), (126.9935093, 37.6128721), (126.9935583, 37.6128761), (126.9935646, 37.6128422), (126.9936086, 37.6128432), (126.9936099, 37.6128173), (126.9936514, 37.6128163), (126.9937079, 37.6128681), (126.9936463, 37.6129119), (126.9936413, 37.6129836), (126.9937632, 37.6129916), (126.9937896, 37.6129697), (126.9940549, 37.6129826), (126.9940838, 37.6126829), (126.9939958, 37.6126809), (126.993938, 37.6127177), (126.9938801, 37.61267), (126.9938914, 37.612662), (126.9938914, 37.6126222), (126.993811, 37.6126222), (126.9938123, 37.6126092), (126.9932416, 37.6125724), (126.9932039, 37.6129139)]"
university,"[(126.9969041, 37.6125131), (126.9970173, 37.6126257), (126.9970575, 37.6125938), (126.9970788, 37.6126087), (126.9972749, 37.6124992), (126.9973101, 37.6125311), (126.9976634, 37.612315), (126.997686, 37.6123349), (126.9977325, 37.612302), (126.9977652, 37.612087), (126.9982843, 37.6117703), (126.99818, 37.6116608), (126.9979789, 37.6117872), (126.9979424, 37.6117474), (126.9978946, 37.6117723), (126.9978833, 37.6117574), (126.9975326, 37.6119605), (126.9974915, 37.6121086), (126.9974903, 37.6121129), (126.9974886, 37.6121188), (126.9974962, 37.6121875), (126.9975251, 37.6122194), (126.997329, 37.6123269), (126.99728, 37.6122712), (126.9969343, 37.6124763), (126.9969431, 37.6124912), (126.9969041, 37.6125131)]"
hospital,"[(127.0627321, 37.6485813), (127.0631219, 37.6487105), (127.0630394, 37.6488665), (127.0632925, 37.6489503), (127.063401, 37.6487449), (127.0634181, 37.6485965), (127.0634716, 37.6485089), (127.0634544, 37.6485023), (127.0634566, 37.648491), (127.0634784, 37.6484497), (127.0631479, 37.6483402), (127.0631214, 37.6483904), (127.0628759, 37.6483091), (127.0627321, 37.6485813)]"
church,"[(126.9470603, 37.5842968), (126.9471646, 37.5843598), (126.9471773, 37.5843516), (126.9471962, 37.5843489), (126.9472172, 37.5843413), (126.9472432, 37.5843273), (126.9473498, 37.5842381), (126.9473508, 37.5842219), (126.947376, 37.5842034), (126.9473801, 37.5841606), (126.9473905, 37.5841452), (126.9473451, 37.5841125), (126.9473521, 37.5841012), (126.9473421, 37.5840922), (126.9473421, 37.5840771), (126.9473157, 37.5840736), (126.9472731, 37.584112), (126.9472555, 37.5841166), (126.9470603, 37.5842968)]"
university,"[(126.9968855, 37.6107571), (126.9969631, 37.6108422), (126.9970223, 37.6108083), (126.9969819, 37.6107639), (126.9970203, 37.6107419), (126.9969832, 37.6107012), (126.9968855, 37.6107571)]"
university,"[(126.9970831, 37.6109882), (126.9970967, 37.6110046), (126.9971566, 37.6110625), (126.9972323, 37.6111385), (126.9974209, 37.6110271), (126.9973868, 37.6109815), (126.9973399, 37.610941), (126.9972781, 37.6108768), (126.9970831, 37.6109882)]"
university,"[(126.9974859, 37.6096476), (126.9975099, 37.6096825), (126.9976407, 37.6098221), (126.9979077, 37.6096741), (126.9979064, 37.6096603), (126.9979317, 37.6096423), (126.9979304, 37.609617), (126.9978076, 37.6094954), (126.99761, 37.6096053), (126.9975914, 37.6095874), (126.9974859, 37.6096476)]"
school,"[(126.9988267, 37.6117766), (126.9993718, 37.6118519), (126.9993662, 37.6118923), (126.9994115, 37.6118953), (126.9994228, 37.6118519), (126.999504, 37.6118594), (126.9995663, 37.611819), (126.9997376, 37.6113582), (126.9994945, 37.611303), (126.9994245, 37.6115204), (126.999238, 37.6116234), (126.9988736, 37.6115735), (126.9988267, 37.6117766)]"
university,"[(126.9973253, 37.6108327), (126.9974107, 37.6109278), (126.997388, 37.6109543), (126.9974307, 37.6110029), (126.9974574, 37.6109881), (126.9975081, 37.6110462), (126.9975535, 37.6110367), (126.9975882, 37.6110145), (126.9975575, 37.6109669), (126.9979579, 37.6107248), (126.9978792, 37.6106434), (126.9978765, 37.6106275), (126.9978512, 37.6106022), (126.9977951, 37.6106085), (126.9977551, 37.6105757), (126.9973253, 37.6108327)]"
university,"[(126.996963, 37.6116558), (126.9972304, 37.6119555), (126.9974728, 37.6118198), (126.9974533, 37.6117978), (126.9977412, 37.6116366), (126.9977738, 37.6116732), (126.9979199, 37.6115913), (126.9979072, 37.6115771), (126.9979439, 37.6115565), (126.9979211, 37.611531), (126.9981031, 37.6114291), (126.9980007, 37.6113144), (126.9976869, 37.6114902), (126.9974183, 37.6116406), (126.9974346, 37.6116589), (126.9973598, 37.6117007), (126.9973417, 37.6116805), (126.9974465, 37.6116218), (126.9974097, 37.6115805), (126.9973056, 37.6114639), (126.996963, 37.6116558)]"
university,"[(126.995296, 37.6105828), (126.9954055, 37.6107009), (126.9953602, 37.6107308), (126.9953659, 37.6107906), (126.9953961, 37.6108205), (126.9954169, 37.6107936), (126.9954791, 37.6107712), (126.9955226, 37.6108175), (126.9963342, 37.6103405), (126.9962833, 37.6102762), (126.9963097, 37.6102613), (126.9962795, 37.6102284), (126.9962493, 37.6102463), (126.9961153, 37.6100878), (126.9960039, 37.6101596), (126.9961474, 37.6103136), (126.996019, 37.6103884), (126.9958793, 37.6102284), (126.9957661, 37.6102897), (126.9958604, 37.6104078), (126.9957396, 37.6104766), (126.9956415, 37.6103659), (126.9955263, 37.6104392), (126.9956755, 37.6105917), (126.9955452, 37.6106695), (126.995398, 37.610514), (126.995296, 37.6105828)]"
university,"[(126.9972203, 37.6102471), (126.9973044, 37.6103349), (126.997251, 37.6103825), (126.9973551, 37.6104882), (126.9974259, 37.6104702), (126.9974712, 37.6104385), (126.9974859, 37.6104628), (126.9974339, 37.6104988), (126.9974485, 37.6105443), (126.9983268, 37.6100399), (126.998164, 37.6098728), (126.9981253, 37.609894), (126.9980398, 37.6098009), (126.9979117, 37.6098792), (126.9979371, 37.6099003), (126.997913, 37.609912), (126.997889, 37.609894), (126.9977609, 37.6099669), (126.9977822, 37.6099902), (126.9977529, 37.610004), (126.9977368, 37.609986), (126.9976114, 37.6100558), (126.9976327, 37.6100769), (126.9976007, 37.6100959), (126.9975847, 37.6100759), (126.9974699, 37.6101425), (126.9974339, 37.6101118), (126.9972203, 37.6102471)]"
university,"[(126.9979371, 37.6094552), (126.9980011, 37.6095715), (126.9983535, 37.6094562), (126.9982948, 37.6093389), (126.9979371, 37.6094552)]"
university,"[(127.0301214, 37.5868871), (127.0306869, 37.587429), (127.0308564, 37.5873197), (127.0303065, 37.5867707), (127.0301214, 37.5868871)]"
